entidad_a,momfalle_a,orgpoltt,orgpol1,orgpol2,orgpol3,orgpol4,orgpol5,orgpol6,orgpol7,orgpol8,orgpol9,orgpol10,orgpol11,orgpol12,orgpol13,orgpol14,orgpol15,orgpol16,orgpol17,orgpol18
30,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
30,9,,,,,,,,,,,,,,,,,,,
31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2,28,27,1,22,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,9,,,,,,,,,,,,,,,,,,,
32,1,4,4,0,4,0,NSS,0,0,0,0,0,NSS,0,0,0,NSS,0,0,0
32,2,NSS,NSS,0,NSS,0,NSS,0,0,0,0,0,NSS,0,0,0,NSS,0,0,0
32,3,16,16,0,5,0,4,0,0,0,0,0,6,0,0,0,1,0,0,0
32,9,,,,,,,,,,,,,,,,,,,
