entidad_a,rangedad_a,orgpoltt,orgpol1,orgpol2,orgpol3,orgpol4,orgpol5,orgpol6,orgpol7,orgpol8,orgpol9,orgpol10,orgpol11,orgpol12,orgpol13,orgpol14,orgpol15,orgpol16,orgpol17,orgpol18
10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,99,,,,,,,,,,,,,,,,,,,
11,1,2,2,0,2,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
11,2,7,7,0,7,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
11,3,4,4,0,4,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
11,4,3,3,0,3,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
11,5,3,3,0,3,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
11,6,5,5,0,4,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0
11,7,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
11,8,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
11,9,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
11,10,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
11,99,,,,,,,,,,,,,,,,,,,
12,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,4,8,7,1,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
12,5,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,6,5,5,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
12,7,9,9,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
12,8,4,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,9,16,16,0,12,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,99,,,,,,,,,,,,,,,,,,,
13,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
13,5,3,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
13,6,3,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
13,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,8,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,9,8,8,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,1,0
13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,99,,,,,,,,,,,,,,,,,,,
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,5,6,6,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
14,6,11,11,0,7,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0
14,7,6,5,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
14,8,3,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,9,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,99,,,,,,,,,,,,,,,,,,,
15,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
15,2,2,2,0,1,0,0,0,0,0,0,0,NA,NA,0,0,1,0,0,0
15,3,13,11,2,10,2,0,0,0,0,0,0,NA,NA,0,0,1,0,0,0
15,4,10,9,1,8,1,0,0,0,0,0,0,NA,NA,0,0,1,0,0,0
15,5,15,15,0,14,0,0,0,0,0,0,0,NA,NA,0,0,1,0,0,0
15,6,29,28,1,27,1,0,0,0,0,0,0,NA,NA,0,0,1,0,0,0
15,7,18,18,0,18,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
15,8,9,8,1,8,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
15,9,4,4,0,2,0,0,0,0,0,0,0,NA,NA,1,0,1,0,0,0
15,10,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
15,99,,,,,,,,,,,,,,,,,,,
16,1,NSS,NSS,NSS,NSS,NSS,NSS,0,0,0,0,0,NA,NA,NSS,0,NSS,0,0,0
16,2,NSS,NSS,NSS,NSS,NSS,NSS,0,0,0,0,0,NA,NA,NSS,0,NSS,0,0,0
16,3,NSS,NSS,NSS,NSS,NSS,NSS,0,0,0,0,0,NA,NA,NSS,0,NSS,0,0,0
16,4,NSS,NSS,NSS,NSS,NSS,NSS,0,0,0,0,0,NA,NA,NSS,0,NSS,0,0,0
16,5,NSS,NSS,NSS,NSS,NSS,NSS,0,0,0,0,0,NA,NA,NSS,0,NSS,0,0,0
16,6,NSS,NSS,NSS,NSS,NSS,NSS,0,0,0,0,0,NA,NA,NSS,0,NSS,0,0,0
16,7,NSS,NSS,NSS,NSS,NSS,NSS,0,0,0,0,0,NA,NA,NSS,0,NSS,0,0,0
16,8,NSS,NSS,NSS,NSS,NSS,NSS,0,0,0,0,0,NA,NA,NSS,0,NSS,0,0,0
16,9,NSS,NSS,NSS,NSS,NSS,NSS,0,0,0,0,0,NA,NA,NSS,0,NSS,0,0,0
16,10,32,28,4,19,4,4,0,0,0,0,0,NA,NA,1,0,4,0,0,0
16,99,,,,,,,,,,,,,,,,,,,
17,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
17,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
17,3,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
17,4,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
17,5,3,3,0,2,0,0,0,1,0,0,0,NA,NA,0,0,0,0,0,0
17,6,1,0,1,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
17,7,3,2,1,1,1,0,0,1,0,0,0,NA,NA,0,0,0,0,0,0
17,8,1,1,0,0,0,0,0,1,0,0,0,NA,NA,0,0,0,0,0,0
17,9,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
17,10,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
17,99,,,,,,,,,,,,,,,,,,,
18,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
18,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
18,3,2,1,1,1,0,0,0,0,0,0,0,NA,NA,0,0,0,1,0,0
18,4,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
18,5,3,3,0,2,0,0,0,0,0,0,0,NA,NA,0,0,1,0,0,0
18,6,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
18,7,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
18,8,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
18,9,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
18,10,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
18,99,,,,,,,,,,,,,,,,,,,
19,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,3,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,5,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
19,9,6,5,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1
19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,99,,,,,,,,,,,,,,,,,,,
20,1,1,1,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA
20,2,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA
20,3,6,5,1,3,0,1,1,1,0,NA,NA,0,0,0,0,0,0,NA,NA
20,4,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA
20,5,7,7,0,5,0,0,0,2,0,NA,NA,0,0,0,0,0,0,NA,NA
20,6,3,3,0,1,0,1,0,1,0,NA,NA,0,0,0,0,0,0,NA,NA
20,7,10,9,1,4,0,3,0,1,0,NA,NA,0,1,0,0,1,0,NA,NA
20,8,6,5,1,1,1,0,0,4,0,NA,NA,0,0,0,0,0,0,NA,NA
20,9,14,13,1,10,1,0,0,3,0,NA,NA,0,0,0,0,0,0,NA,NA
20,10,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA
20,99,,,,,,,,,,,,,,,,,,,
21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,4,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,5,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
