AÑO,MES,Entidad donde se recibió la Denuncia,RD_H,RD_M,RD_215_H,RD_215_M,EVDI_H,EVDI_M,EVDV_H,EVDV_M,EV_215_I_H,EV_215_I_M,EV_215_V_H,EV_215_V_M,DESV_H,DESV_M,DESV_215_H,DESV_215_M,CDNB_H,CDNB_M,CDNB_215_H,CDNB_215_M
2014,4,VERACRUZ DE IGNACIO DE LA LLAVE,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2014,4,YUCATÁN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,4,ZACATECAS,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,5,AGUASCALIENTES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,5,BAJA CALIFORNIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,5,BAJA CALIFORNIA SUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,5,CAMPECHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,5,COAHUILA DE ZARAGOZA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,5,COLIMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,5,CHIAPAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,5,CHIHUAHUA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,5,CIUDAD DE MÉXICO,43,15,4,0,0,0,3,8,0,0,0,0,0,0,0,0,5,12,0,0
2014,5,DURANGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,5,GUANAJUATO,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,5,GUERRERO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,5,HIDALGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,5,JALISCO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,5,MÉXICO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,5,MICHOACÁN DE OCAMPO,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2014,5,MORELOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,5,NAYARIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,5,NUEVO LEÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,5,OAXACA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,5,PUEBLA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,5,QUERÉTARO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,5,QUINTANA ROO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,5,SAN LUIS POTOSÍ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,5,SINALOA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,5,SONORA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,5,TABASCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,5,TAMAULIPAS,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0
2014,5,TLAXCALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,5,VERACRUZ DE IGNACIO DE LA LLAVE,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
2014,5,YUCATÁN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,5,ZACATECAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,6,AGUASCALIENTES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,6,BAJA CALIFORNIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,6,BAJA CALIFORNIA SUR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,6,CAMPECHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,6,COAHUILA DE ZARAGOZA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2014,6,COLIMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,6,CHIAPAS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,6,CHIHUAHUA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,6,CIUDAD DE MÉXICO,36,24,0,0,0,1,1,6,0,0,0,0,0,0,0,0,7,16,0,0
2014,6,DURANGO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,6,GUANAJUATO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,6,GUERRERO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,6,HIDALGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,6,JALISCO,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
2014,6,MÉXICO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,6,MICHOACÁN DE OCAMPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,6,MORELOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,6,NAYARIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,6,NUEVO LEÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,6,OAXACA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,6,PUEBLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,6,QUERÉTARO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,6,QUINTANA ROO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,6,SAN LUIS POTOSÍ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,6,SINALOA,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,6,SONORA,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
2014,6,TABASCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,6,TAMAULIPAS,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0
2014,6,TLAXCALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,6,VERACRUZ DE IGNACIO DE LA LLAVE,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0
2014,6,YUCATÁN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,6,ZACATECAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,AGUASCALIENTES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,BAJA CALIFORNIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,BAJA CALIFORNIA SUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,CAMPECHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,COAHUILA DE ZARAGOZA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2014,7,COLIMA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,7,CHIAPAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,CHIHUAHUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,CIUDAD DE MÉXICO,24,16,3,0,2,2,0,5,0,0,0,0,0,0,0,0,8,15,1,0
2014,7,DURANGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,GUANAJUATO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,GUERRERO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,7,HIDALGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,JALISCO,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0
2014,7,MÉXICO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,MICHOACÁN DE OCAMPO,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,7,MORELOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,NAYARIT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,7,NUEVO LEÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,OAXACA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,PUEBLA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014,7,QUERÉTARO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,QUINTANA ROO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,SAN LUIS POTOSÍ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,SINALOA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,SONORA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,TABASCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,TAMAULIPAS,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
2014,7,TLAXCALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,VERACRUZ DE IGNACIO DE LA LLAVE,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0
2014,7,YUCATÁN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,ZACATECAS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,8,AGUASCALIENTES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,8,BAJA CALIFORNIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,8,BAJA CALIFORNIA SUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,8,CAMPECHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,8,COAHUILA DE ZARAGOZA,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
2014,8,COLIMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,8,CHIAPAS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,8,CHIHUAHUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,8,CIUDAD DE MÉXICO,25,18,6,0,1,1,1,4,0,0,0,0,0,0,0,0,4,14,0,0
